Fréquence (Hz)	Niveau (dB)
2896,215820	-88,915886
2898,907471	-88,975876
2901,599121	-90,312279
2904,290771	-91,008720
2906,982422	-89,736656
2909,674072	-89,074722
2912,365723	-89,761642
2915,057373	-90,655746
2917,749023	-90,227364
2920,440674	-89,852791
2923,132324	-90,068184
2925,823975	-89,972916
2928,515625	-89,680946
2931,207275	-90,445366
2933,898926	-89,308479
2936,590576	-88,993980
2939,282227	-89,375839
2941,973877	-88,947243
2944,665527	-90,262489
2947,357178	-91,559898
2950,048828	-89,582176
2952,740479	-88,660957
2955,432129	-90,282410
2958,123779	-89,682755
2960,815430	-89,081467
2963,507080	-89,644348
2966,198730	-91,750938
2968,890381	-91,253403
2971,582031	-89,537148
2974,273682	-90,453018
2976,965332	-90,370659
2979,656982	-89,715424
2982,348633	-88,671280
2985,040283	-88,307785
2987,731934	-89,948883
2990,423584	-90,554909
2993,115234	-89,255302
2995,806885	-89,604988
2998,498535	-89,133575
3001,190186	-89,695953
3003,881836	-91,294022
3006,573486	-88,473862
3009,265137	-88,994446
3011,956787	-89,277832
3014,648438	-88,392075
3017,340088	-90,022194
3020,031738	-90,548088
3022,723389	-90,818428
3025,415039	-90,362022
3028,106689	-88,747543
3030,798340	-89,879379
3033,489990	-88,693336
3036,181641	-88,404007
3038,873291	-88,981911
3041,564941	-89,462494
3044,256592	-90,441704
3046,948242	-90,339821
3049,639893	-90,313187
3052,331543	-91,042496
3055,023193	-90,628639
3057,714844	-89,773445
3060,406494	-90,744629
3063,098145	-90,459160
3065,789795	-90,469986
3068,481445	-90,748688
3071,173096	-89,856812
3073,864746	-89,145638
3076,556396	-89,714966
3079,248047	-91,411636
3081,939697	-90,797127
3084,631348	-90,222473
3087,322998	-91,376183
3090,014648	-89,667793
3092,706299	-89,309509
3095,397949	-91,255051
3098,089600	-91,759888
3100,781250	-91,081390
3103,472900	-90,238876
3106,164551	-90,626686
3108,856201	-90,806526
3111,547852	-90,355202
3114,239502	-89,620522
3116,931152	-89,854454
3119,622803	-89,445274
3122,314453	-89,758438
3125,006104	-91,454918
3127,697754	-91,780930
3130,389404	-90,056244
3133,081055	-90,791481
3135,772705	-91,169098
3138,464355	-89,918785
3141,156006	-90,699638
3143,847656	-90,721458
3146,539307	-90,805321
3149,230957	-89,631927
3151,922607	-89,811028
3154,614258	-90,439026
3157,305908	-90,685661
3159,997559	-90,790695
3162,689209	-90,336487
3165,380859	-90,028679
3168,072510	-90,034950
3170,764160	-90,451706
3173,455811	-89,680954
3176,147461	-89,295540
3178,839111	-89,973717
3181,530762	-90,423836
3184,222412	-90,243904
3186,914063	-92,199051
3189,605713	-90,407394
3192,297363	-90,636322
3194,989014	-90,245827
3197,680664	-89,370560
3200,372314	-88,782486
